Date,Value
2013-09-19,24.0
2013-09-14,1.0
2013-09-11,1.0
2013-09-10,1.0
2013-08-22,7.0
2013-08-20,1.0
2013-08-19,38.0
2013-08-18,15.0
2013-08-17,54.0
2013-08-16,11.0
2013-08-13,21.0
2013-08-12,9.0
2013-07-30,1.0
2013-07-16,5.0
2013-07-06,1.0

